urn,authority_name,canonical_id,mads_file,alt_ids,related_works,urn_status,redirect_to,created_by,edited_by
urn:cite:perseus:author.1.1,Anacreontea,,PrimaryAuthors/A/Anacreontea/n83-015406.mads.xml,,tlg4150.tlg001,published,,feed_aggregator,
urn:cite:perseus:author.2.1,"Abelard, Peter 1079-1142",stoa0002,PrimaryAuthors/A/Abelard/n79-142562.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.3.1,Ablabius Rhetor 5. Jh. n. Chr,tlg4023,"PrimaryAuthors/A/Ablabius Illustrius, Epigrammatist/AblabiusIllustrius.mads.xml",,,,published,,feed_aggregator
urn:cite:perseus:author.4.1,Ablabius,phi2000,PrimaryAuthors/A/Ablabius/nr95-20708.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.5.1,"Accius, Lucius",phi0400,PrimaryAuthors/A/Accius/n80-125819.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.6.1,Aceratus Epigrammaticus 1. Jh. n. Chr,,PrimaryAuthors/A/Aceratus/aceratus.mads.dnb.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.7.1,Aceratus Gramm A.D. 1,tlg0101,PrimaryAuthors/A/Aceratus/aceratus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.8.1,Acestodorus Megalopolitanus 3. Jh. v. Chr,tlg1818,PrimaryAuthors/A/Acestodorus/viaf37304158.mads.xml,tlg1818x01,,published,,feed_aggregator,
urn:cite:perseus:author.9.1,Achaeus Eretriensis ca. 484 - ca. 401 v. Chr,tlg0309,PrimaryAuthors/A/Achaeus Eretriensis/AchaeusEretriensis.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.10.1,Achilles Tatius,tlg0532,PrimaryAuthors/A/Achilles Tatius/n80-9786.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.11.1,Acholius,stoa0004,PrimaryAuthors/A/Acholius/acholius.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.12.1,"Acilius, Gaius um 155 v. Chr",tlg2545,PrimaryAuthors/A/Acilius/acilius.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.13.1,"Actorius Naso, Marcus",stoa0005,PrimaryAuthors/A/Actorius Naso/ActoriusNaso.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.14.1,Acusilaus of Argos,tlg0392,PrimaryAuthors/A/Acusilaus/nr2006008684.madsxml.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.15.1,Adaeus Epigr A.D. 1,tlg0102,"PrimaryAuthors/A/Adaeus, epigrammatist/adaeus.mads.xml",,,,published,,feed_aggregator
urn:cite:perseus:author.16.1,Adaeus Macedo 1. Jh. n. Chr,,"PrimaryAuthors/A/Adaeus, epigrammatist/adaeus.mads.dnb.xml",,,,published,,feed_aggregator
urn:cite:perseus:author.17.1,Adamant,tlg0731,PrimaryAuthors/A/Adamant (Adamantius Judaeus)/n92-72374.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.18.1,Adrianus of Tyre ca. 113-ca. 193,tlg0666,PrimaryAuthors/A/Adrianus/no91-13589.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.19.1,Aelian 3rd cent,tlg0545,PrimaryAuthors/A/Aelian/n82-32651.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.20.1,Aelius Iunius Cordus 3. Jh. n. Chr,stoa0098b,PrimaryAuthors/A/Aelius Iunius Cordus/AeliusIuniusCordus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.21.1,Aelius Maurus,stoa0010b,PrimaryAuthors/A/Aelius Maurus/AeliusMaurus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.22.1,Aelius Sabinus ca. Ende 3. Jh,stoa0248a,PrimaryAuthors/A/Aelius Sabinus/viaf172518861.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.23.1,"Aelius Tubero, Q. (Quintus) b. ca. 76 B.C",phi0670,PrimaryAuthors/A/Aelius Tubero/nr95-38408.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.24.1,Aemilianus Rhetor A.D. 1,tlg0103,PrimaryAuthors/A/Aemilianus/aemilianus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.25.1,Aemilius Parthenianus,stoa0220b,"PrimaryAuthors/P/Pa-Pe/Parthenianus, Aemilius/viaf172627752.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.26.1,Aemilius Sura,phi2300,PrimaryAuthors/A/Aemilius Sura/nr95-28790.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.27.1,Aeneas Gazaeus 430-486,tlg4001,PrimaryAuthors/A/Aeneas Gazaeus/viaf102328360.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.28.1,Aeneas Tacticus 4th cent. B.C,tlg0058,PrimaryAuthors/A/Aeneas Tacticus/n88-206516.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.29.1,Aeschines Rhet,tlg0104,"PrimaryAuthors/A/Aeschines, Epigrammatist/aeschines.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.30.1,Aeschines Socraticus 4th cent. B.C,tlg0673,PrimaryAuthors/A/Aeschines Socraticus/n88038943.madsxml.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.31.1,Aeschines,tlg0026,PrimaryAuthors/A/Aeschines/n82-32653.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.32.1,Aeschrion Samius 4. Jh. v. Chr,tlg0679,PrimaryAuthors/A/Aeschrion/AeschrionSamius.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.33.1,Aeschylus Alexandrinus 3./1. Jh. v. Chr,tlg0321,PrimaryAuthors/A/Aeschylus Alexandrinus/AeschylusAlexandrinus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.34.1,Aeschylus,tlg0085,PrimaryAuthors/A/Aeschylus/n79-55702.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.35.1,Aesop,tlg0096,PrimaryAuthors/A/Aesop/n81-66350.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.36.1,Aetius of Amida,tlg0718,"PrimaryAuthors/A/Aetius, of Amida/AetiusAmida.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.37.1,"Afranius, Lucius",phi0404,"PrimaryAuthors/A/Afranius, Lucius/n00-24409.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.38.1,Agathias d. 582,tlg4024,PrimaryAuthors/A/Agathias Scholasticus/n50-43676.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.39.1,Agathon Epigrammaticus Person der Antike,tlg1775,PrimaryAuthors/A/Agathon/agathon(pseudo).mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.40.1,Agathon Tragicus ca. 445 v. Chr.- 401 v. Chr,tlg0318,PrimaryAuthors/A/Agathon Tragicus/agathon.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.41.1,Agathyllus Arcas,tlg2606,PrimaryAuthors/A/Agathyllus Arcas/AgathyllusArcas.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.42.1,Agennius Urbicus 4./5. Jh. n. Chr,stoa0012a,PrimaryAuthors/A/Agennius Urbicus/viaf42229983.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.43.1,Agis Epigr,tlg0105,PrimaryAuthors/A/Agis/agis.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.44.1,"Agrippa, Marcus Vipsanius",stoa0013a,PrimaryAuthors/A/Agrippa/n85-17329.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.45.1,Agrippina Minor 15-59,stoa0013b,PrimaryAuthors/A/Agrippina/n88-3773.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.46.1,Alanus de Insulis d. 1202,stoa0015,"PrimaryAuthors/A/Alanus, de Insulis/n50-35344.xml.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.47.1,Albinovanus Pedo,phi0800,PrimaryAuthors/A/Albinovanus Pedo/nr95-21137.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.48.1,Albinus,phi2002,PrimaryAuthors/A/Albinus/albinus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.49.1,Alcaeus Comicus 5./4. Jh. v. Chr,tlg0400,PrimaryAuthors/A/Alcaeus Comicus/AlcaeusComicus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.50.1,Alcaeus Epigr,tlg0106,PrimaryAuthors/A/Alcaeus of Messene/AlcaeusofMessene.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.51.1,Alcaeus,tlg0383,PrimaryAuthors/A/Alcaeus/n81-24909.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.52.1,Alcibiades,tlg0236,PrimaryAuthors/A/Alcibiades/n85-196363.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.53.1,Alcidamas 4th cent. B.C,tlg0610,PrimaryAuthors/A/Alcidamas/n87-855622.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.54.1,Alcimenes Comicus 3. Jh. v. Chr,tlg1780,PrimaryAuthors/A/Alcimenes/alcimenes.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.55.1,"Alcimus Alethius, Latinus um 355 n. Chr",stoa0019a,PrimaryAuthors/A/Alcimus Alethius/AlcimusAlethius.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.56.1,Alciphron,tlg0640,PrimaryAuthors/A/Alciphron/n85-017784.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.57.1,Alcman,tlg0291,PrimaryAuthors/A/Alcman/n85-148658.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.58.1,Alcuin 735-804,stoa0020,PrimaryAuthors/A/Alcuin/n50-42175.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.59.1,Alexander Aetolus,tlg0216,"PrimaryAuthors/A/Alexander, Aetolus/n00-36747.xml.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.60.1,Alexander Comicus 1. Jh. v. Chr,tlg0401,PrimaryAuthors/A/Alexander Comicus/AlexanderComicus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.61.1,Alexander Magnes 1. Jh. v. Chr,tlg0107,PrimaryAuthors/A/Alexander of Magnesia/AlexanderMagnes.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.62.1,Alexander Polyhistor approximately 105 B.C.-approximately 35 B.C,tlg1864,PrimaryAuthors/A/Alexander Polyhistor/nr90028764.madsxml.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.63.1,Alexander of Aphrodisias,tlg0732,PrimaryAuthors/A/Alexander of Aphrodisias/viaf95239377.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.64.1,Alexander of Tralles ca. 525-ca. 605,tlg0744,PrimaryAuthors/A/Alexander of Tralles/n85-811814.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.65.1,Alexander the Great 356 B.C.-323 B.C,tlg0042,PrimaryAuthors/A/Alexander the Great/n79004067.madsxml.xml,,stoa0020b.stoa001,published,,feed_aggregator,
urn:cite:perseus:author.66.1,Alexis ca. 372-270 B.C,tlg0402,"PrimaryAuthors/A/Alexis, ca. 372-270/n95-38772.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.67.1,Alfius Avitus,phi1203,PrimaryAuthors/A/Alfius/nr95-21123.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.68.1,Alpheius Mytilenensis 1 Jh. n. Chr,tlg0108,PrimaryAuthors/A/Alpheius of Mitylene/AlpheusofMitylene.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.69.1,Alypius Musicus fl.3./4. Jh,tlg2135,PrimaryAuthors/A/Alypius/alypius.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.70.1,Amelesagoras Atheniensis 4./3. Jh. v. Chr,tlg2219,PrimaryAuthors/A/Amelesagoras/viaf39766325.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.71.1,Amipsias Comicus 5./4. Jh. v. Chr,tlg0403,PrimaryAuthors/A/Amipsias/amipsias.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.72.1,Ammianus Epigrammaticus 1./2. Jh,tlg0109,"PrimaryAuthors/A/Ammianus, epigrammatist/ammianus.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.73.1,Ammianus Marcellinus,stoa0023,PrimaryAuthors/A/Ammianus Marcellinus/n80-65875.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.74.1,Ammon Astrologus 4. Jh. n. Chr,tlg4350,PrimaryAuthors/A/Ammon Astrologus/AmmonAstrologus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.75.1,Ammonides Epigrammaticus ca. 3. Jh. v. Chr,tlg0110,PrimaryAuthors/A/Ammonides/ammonides.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.76.1,Ammonius Epigrammaticus 5. Jh. n. Chr,tlg0289,PrimaryAuthors/A/Ammonius/ammonius.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.77.1,"Ammonius, Hermiae",tlg4016,"PrimaryAuthors/A/Ammonius, Hermiae/n84001513.madsxml.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.78.1,Amometus Historicus 4./3. Jh. v. Chr,tlg2445,PrimaryAuthors/A/Amometus/viaf71783264.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.79.1,"Ampelius, Lucius",phi1206,"PrimaryAuthors/A/Ampelius, Lucius/n81-084530.mads.xml",stoa0024,,published,,feed_aggregator,
urn:cite:perseus:author.80.1,"Amphilochius Saint, Bishop of Iconium fl. 373-394",stoa0024a,PrimaryAuthors/A/Amphilochius/no94-34791.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.81.1,Amphis Comicus 4. Jh. v. Chr,tlg0404,PrimaryAuthors/A/Amphis/amphis.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.82.1,"Ampius Balbus, Titus 1. Jh. v. Chr",stoa0049b,"PrimaryAuthors/A/Ampius Balbus, Titus/AmpiusBalbus(Titus).mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.83.1,Anacharsis,tlg0037,PrimaryAuthors/A/Anacharsis/viaf24679016.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.84.1,Anacreon,tlg0237,PrimaryAuthors/A/Anacreon/n83-15407.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.85.1,Ananius Iambographus 6. Jh. v. Chr,tlg0238,PrimaryAuthors/A/Ananius/ananius.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.86.1,Anaritius d. ca. 922,stoa0024b,PrimaryAuthors/A/Anaratius/nr95-2413.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.87.1,Anastasius Traulus Person der Antike,tlg9005,PrimaryAuthors/A/Anastasius Traulus/AnastasiusTraulus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.88.1,Anaxandrides Comicus 4. Jh. v. Chr,tlg0405,PrimaryAuthors/A/Anaxandrides/anaxandrides.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.89.1,Anaxilas Comicus 4. Jh. v. Chr,tlg0406,PrimaryAuthors/A/Anaxilas/anaxilas.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.90.1,Anaximander Iunior ca. 4. Jh. v. Chr,tlg1120,PrimaryAuthors/A/Anaximander/viaf35262585.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.91.1,Anaximenes Milesius v546-v528,tlg1121,PrimaryAuthors/A/Anaximenes Milesius/viaf78005810.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.92.1,Anaximenes of Lampsacus,tlg0547,PrimaryAuthors/A/Anaximenes of Lampsacus/anaximenes.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.93.1,Anaxippus Comicus um 307/285 v. Chr,tlg0407,PrimaryAuthors/A/Anaxippus/anaxippus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.94.1,Andocides ca. 440-ca. 390 B.C,tlg0027,PrimaryAuthors/A/Andocides/n88-141974.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.95.1,Andron Alexandrinus 2./1. Jh. v. Chr,tlg2172,PrimaryAuthors/A/Andron Alexandrinus/viaf66855832.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.96.1,Andron Halicarnassensis 4. Jh. v. Chr,tlg1123,PrimaryAuthors/A/Andron Halicarnassensis/viaf74241881.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.97.1,Andron Historicus ca. 3.Jh.v.Chr,tlg4347,PrimaryAuthors/A/Andron Historicus /viaf61941123.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.98.1,Andron Teius 4. Jh. v. Chr,tlg2536,PrimaryAuthors/A/Andron Teius/viaf52080798.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.99.1,Andronicus Epigrammaticus 3. Jh. v. Chr./1. Jh. n. Chr,tlg0111,PrimaryAuthors/A/Andronicus/andronicus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.100.1,"Andronicus, Livius",phi0094,PrimaryAuthors/L/Livius Andronicus/n80-49661.xml.mads.xml,stoa0178,,published,,feed_aggregator,
urn:cite:perseus:author.101.1,Androtiōn fl. 4th cent. B.C,tlg1125,PrimaryAuthors/A/Androtion/n93005025.madsxml.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.102.1,Annianus,phi1209,PrimaryAuthors/A/Annianus/nr95-20711.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.103.1,Anonymi Epici et Lyrici,phi9500,PrimaryAuthors/A/Anonymi Epici et Lyrici/AnonymiEpiciEtLyrici.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.104.1,Antagoras Rhodius um 276 v. Chr,tlg0215,PrimaryAuthors/A/Antagoras/antagoras.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.105.1,Antander Syracusanus 4./3. Jh. v. Chr,tlg2389,PrimaryAuthors/A/Antander/viaf15159428.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.106.1,Anthimus,stoa0028b,PrimaryAuthors/A/Anthimus/n88-106327.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.107.1,Antidotus Comicus 4. Jh. v. Chr,tlg0409,PrimaryAuthors/A/Antidotus/antidotus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.108.1,Antigenes Atheniensis 5. Jh. v. Chr,tlg0139,PrimaryAuthors/A/Antigenes/antigenes.mads.xml,tlg0139x01,,published,,feed_aggregator,
urn:cite:perseus:author.109.1,Antigonus of Carystus fl. 240 B.C,tlg0568,PrimaryAuthors/A/Antigonus/nr89-10431.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.110.1,Antimachus of Colophon,tlg0239,PrimaryAuthors/A/Antimachus/n87-829370.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.111.1,Antiochus Epigrammaticus 1./2. Jh. n. Chr,tlg0112,"PrimaryAuthors/A/Antiochus, epigrammatist/antiochus.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.112.1,Antiochus Epistolographus 3./2. Jh. v. Chr,tlg0044,"PrimaryAuthors/A/Antiochus, Epistolographus/viaf59475586.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.113.1,Antiochus Historicus 5. Jh. v. Chr,tlg1879,PrimaryAuthors/A/Antiochus Historicus/viaf7774613.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.114.1,Antiochus Syracusanus fl.5. Jh. v. Chr,tlg1145,PrimaryAuthors/A/Antiochus Syracusanus/viaf5317505.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.115.1,Antipater Epigr,tlg1865,"PrimaryAuthors/A/Antipater, uncertain/AntipaterMADS.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.116.1,Antipater Epigr,tlg1865,"PrimaryAuthors/A/Antipater, uncertain/antipater.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.117.1,Antipater Macedo ca. 399/398 v. Chr. - 319 v. Chr,tlg1929,PrimaryAuthors/A/Antipater Macedo/viaf61941134.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.118.1,Antipater Tarsensis um 140 v. Chr,tlg1146,PrimaryAuthors/A/Antipater Tarsensis/AntipaterTarsensis.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.119.1,Antipater of Sidon fl. ca. 100 B.C,tlg0113,PrimaryAuthors/A/Antipater of Sidon/n2001-40824.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.120.1,Antipater of Thessalonica fl. 11 B.C.-12 A.D,tlg0114,PrimaryAuthors/A/Antipater of Thessalonica/no2005-31362.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.121.1,Antiphanes Macedo 1. Jh. n. Chr,tlg0117,PrimaryAuthors/A/Antiphanes/antiphanes.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.122.1,Antiphanes,tlg0410,"PrimaryAuthors/A/Antiphanes, Comic/no00-91664.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.123.1,Antiphilus Byzantius 1. Jh. v. Chr,tlg0118,PrimaryAuthors/A/Antiphilus of Byzantium/AntiphilusofByzantium.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.124.1,Antiphon Tragicus 5./4. Jh. v. Chr,tlg0323,"PrimaryAuthors/A/Antiphon, Tragicus/AntiphonTragicus.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.125.1,Antiphon ca. 480-411 B.C,tlg0028,PrimaryAuthors/A/Antiphon/n82-101412.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.126.1,Antiphon of Athens,tlg1147,PrimaryAuthors/A/Antiphon the Sophist/n92-70218.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.127.1,Antisthenes ca. 445-ca. 360 B.C,tlg0591,PrimaryAuthors/A/Antisthenes/n86-119012.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.128.1,Antistius Epigrammaticus 1. Jh. n. Chr,tlg0119,PrimaryAuthors/A/Antistius/antistius.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.129.1,Antoninus Liberalis 2nd cent,tlg0651,"PrimaryAuthors/A/Antoninus Liberalis, 2nd cent./no91011562.madsxml.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.130.1,Antoninus Pius Emperor of Rome 86-161,phi1248,"PrimaryAuthors/A/Antoninus Pius, Emperor of Rome/n79-148931.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.131.1,Antonius Argivus 1. Jh. n. Chr,tlg0120,PrimaryAuthors/A/Antonius of Argos/AntoniusArgivus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.132.1,Antonius Diogenes,tlg1148,PrimaryAuthors/A/Antonius Diogenes/no93-21477.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.133.1,Antonius Iulianus 2. Jh. n. Chr,stoa0028c,PrimaryAuthors/A/Antonius Julianus/AntoniusJulianus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.134.1,"Antonius monk, disciple of Simeon Stylites fl. 470",stoa0028d,PrimaryAuthors/A/Antonius the Monk/n92-17627.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.135.1,"Antonius monk, disciple of Simeon Stylites fl. 470",,PrimaryAuthors/A/Antonius/n92-17627.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.136.1,Anubion Poeta Astrologus 1. Jh. n. Chr,tlg1126,PrimaryAuthors/A/Anubion/Anubion.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.137.1,Anyte of Tegea,tlg0121,PrimaryAuthors/A/Anyte/n80-144991.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.138.1,Aphareus Tragicus 4. Jh. v. Chr,tlg1150,PrimaryAuthors/A/Aphareus/aphareus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.139.1,Apicius,phi2003,PrimaryAuthors/A/Apicius/n84-238685.xml.mads.xml,stoa0029,,published,,feed_aggregator,
urn:cite:perseus:author.140.1,Apion ca. 25 B.C.-ca. 45 A.D,tlg1152,PrimaryAuthors/A/Apion/nr99000135.madsxml.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.141.1,Apollinarius Epigrammaticus 2. Jh. n. Chr,tlg0122,"PrimaryAuthors/A/Apollinarius, epigrammatist/apollinarius.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.142.1,Apollodorus Carystius 4./3. Jh. v. Chr,tlg0411,PrimaryAuthors/A/Apollodorus Carystius/ApollodorusCarystius.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.143.1,Apollodorus Gelous 4./3. Jh. v. Chr,tlg0413,PrimaryAuthors/A/Apollodorus Gelous/ApollodorusGelous.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.144.1,Apollodorus Lyricus ca. 6. Jh. v. Chr,tlg0365,PrimaryAuthors/A/Apollodorus Lyricus/ApollodorusLyricus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.145.1,Apollodorus Seleucensis 2. Jh. v. Chr,tlg1166,PrimaryAuthors/A/Apollodorus Seleucensis/ApollodorusSeleucensis.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.146.1,Apollodorus of Athens,tlg0549,PrimaryAuthors/A/Apollodorus of Athens/n84107769.madsxml.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.147.1,Apollodorus,tlg0548,PrimaryAuthors/A/Apollodorus/n84-179566.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.148.1,Apollonides Smyrnaeus 1. Jh. n. Chr,tlg0124,"PrimaryAuthors/A/Apollonides, epigrammatist/ApollonidesSmyrnaeus.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.149.1,Apollonides Tragicus 3./2. Jh. v. Chr,tlg0345,PrimaryAuthors/A/Apollonides Tragicus/ApollonidesTragicus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.150.1,Apollonius Biographus ca. 2. Jh. n. Chr,tlg1167,PrimaryAuthors/A/Apollonius Biographus/ApolloniusBiographus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.151.1,Apollonius Rhodius,tlg0001,PrimaryAuthors/A/Apollonius Rhodius/n80-8541.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.152.1,Apollonius Sophista fl.1. Jh,tlg1168,PrimaryAuthors/A/Apollonius Sophista/ApolloniusSophista.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.153.1,Apollonius of Perga,tlg0550,PrimaryAuthors/A/Apollonius of Perga/n84-3189.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.154.1,Apollonius of Tyana,tlg0619,PrimaryAuthors/A/Apollonius of Tyana/viaf25393339.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.155.1,Apollophanes Comicus 5./4. Jh. v. Chr,tlg0414,PrimaryAuthors/A/Apollophanes/Apollophanes.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.156.1,Apollophanes Stoicus 3. Jh. v. Chr,tlg2168,PrimaryAuthors/A/Apollophanes Stoicus/ApollophanesStoicus.mads.xml,,,published,,feed_aggregator,
