urn,authority_name,canonical_id,mads_file,alt_ids,related_works,urn_status,redirect_to,created_by,edited_by
urn:cite:perseus:author.1338.1,Sueius,phi0650,PrimaryAuthors/S/Sueius/nr95-22104.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1339.1,"Suetonius Paulinus, Gaius",stoa0268a,PrimaryAuthors/S/Suetonius Paulinus/n2003-40810.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1340.1,Suetonius ca. 69-ca. 122,tlg1760,PrimaryAuthors/S/Suetonius/n50-53072.xml.mads.xml,"phi1348,stoa0268",,published,,feed_aggregator,
urn:cite:perseus:author.1341.1,Suidas Thessalius 4./3. Jh. v. Chr,tlg2416,PrimaryAuthors/S/Suidas Thessalius/viaf17571897.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1342.1,"Sulla, Lucius Cornelius",phi0652,PrimaryAuthors/S/Sulla/n83-212399.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1343.1,Sulpicia 1st cent. B.C,stoa0269,"PrimaryAuthors/S/Sulpicia, 1st cent. B.C./n92-14232.xml.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.1344.1,Sulpicia,phi1023,PrimaryAuthors/S/Sulpicia/n88-92607.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1345.1,"Sulpicius Apollinaris, Gaius 2. Jh. n. Chr",phi1235,PrimaryAuthors/S/Sulpicius Apollinaris/SulpiciusApollinaris.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1346.1,Sulpicius Blitho,stoa0269a,PrimaryAuthors/S/Sulpicius Blitho/SulpiciusBlitho.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1347.1,Sulpicius Carthaginiensis 2. Jh. n. Chr,stoa0269b,PrimaryAuthors/S/Sulpicius Carthaginiensis/SulpiciusCarthaginiensis.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1348.1,Sulpicius Lupercus Serbastus Iunior 4. Jh. n. Chr,stoa0269c,PrimaryAuthors/S/Sulpicius Lupercus Serbastus/viaf7742869.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1349.1,Sulpicius Victor,stoa0270a,"PrimaryAuthors/S/Sulpicius, Victor/nr96-29317.xml.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.1350.1,Susarion Comicus 6./5. Jh. v. Chr,tlg0264,PrimaryAuthors/S/Susarion/viaf27455883.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1351.1,"Symmachus, L. Aurelius Avianus d. ca. 376",phi2302,"PrimaryAuthors/S/Symmachus, L. Aurelius/nr95-22297.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.1352.1,"Symmachus, Q. Aurelius Memmius d. 525",phi2301,"PrimaryAuthors/S/Symmachus, Q. Aurelius Memmius/nr95-21880.xml.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.1353.1,"Symmachus, Quintus Aurelius d. 405",stoa0271,"PrimaryAuthors/S/Symmachus, Quintus Aurelius (d. 405)/viaf.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.1354.1,"Symphosius, Caelius Firmianus",stoa0271a,PrimaryAuthors/S/Symphosius/nr2003-20229.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1355.1,Synesius Scholasticus ca. 6. Jh,tlg4043,PrimaryAuthors/S/Synesius Scholasticus/viaf39766180.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1356.1,"Synesius of Cyrene, Bishop of Ptolemais",tlg2006,PrimaryAuthors/S/Synesius/n81-55375.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1357.1,"Tacitus, Cornelius",phi1351,PrimaryAuthors/T/Tacitus/n80-145600.xml.mads.xml,stoa0273,,published,,feed_aggregator,
urn:cite:perseus:author.1358.1,Tanusius Geminus 1. Jh. v. Chr,stoa0273a,PrimaryAuthors/T/Tanusius Geminus/TanusiusGeminus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1359.1,Teleclides Comicus 5. Jh. v. Chr,tlg0510,PrimaryAuthors/T/Teleclides/teleclides.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1360.1,Telesilla Argiva 5. Jh. v. Chr,tlg0369,PrimaryAuthors/T/Telesilla/Telesilla.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1361.1,Telestes Selinuntius 5./4. Jh. v. Chr,tlg0377,PrimaryAuthors/T/Telestes/telestes.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1362.1,Terence,phi0134,PrimaryAuthors/T/Terence/n79-66715.xml.mads.xml,stoa0274,,published,,feed_aggregator,
urn:cite:perseus:author.1363.1,Terentianus Maurus,phi1518,PrimaryAuthors/T/Terentianus Maurus/n94117654.madsxml.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1364.1,Terpander,tlg0299,PrimaryAuthors/T/Terpander/n91-128768.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1365.1,Tertullian ca. 160-ca. 230,stoa0275,PrimaryAuthors/T/Tertullian/n79091867.madsxml.xml,,"stoa0276.stoa002,stoa0276.stoa003,stoa0276.stoa004,stoa0276.stoa005,stoa0276.stoa006,stoa0276.stoa007,stoa0276.stoa008,stoa0276.stoa010",published,,feed_aggregator,
urn:cite:perseus:author.1366.1,Thales ca. 634-ca. 546 B.C,tlg1705,PrimaryAuthors/T/Thales /n86-24245.mads.xml,"tlg1705x01,tlg1667",,published,,feed_aggregator,
urn:cite:perseus:author.1367.1,Thaletas Musicus um 665 v. Chr,,PrimaryAuthors/T/Thaletas Musicus/ThaletasMusicus.mads.xml,,tlg0000.tlgThaletas,published,,feed_aggregator,
urn:cite:perseus:author.1368.1,"Thallus, Antonius 1. Jh. v. Chr./1. Jh. n. Chr",tlg1707,"PrimaryAuthors/T/Thallus, Antonius/viaf52081591.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.1369.1,Theaetetus Cyrenaeus 3. Jh. v. Chr,tlg1708,PrimaryAuthors/T/Theaetetus Cyrenaeus/TheaetetusCyrenaeus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1370.1,Theaetetus Scholasticus fl.6. Jh,tlg4044,PrimaryAuthors/T/Theaetetus Scholasticus/TheaetetusScholasticus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1371.1,Theano,tlg0054,PrimaryAuthors/T/Theano/n88-648425.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1372.1,Themistius,tlg2001,PrimaryAuthors/T/Themistius/n79-127090.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1373.1,Themistogenes Syracusanus 4. Jh. v. Chr,tlg1924,PrimaryAuthors/T/Themistogenes/viaf71784041.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1374.1,Theocles Lyricus 4./3. Jh. v. Chr,tlg0206,PrimaryAuthors/T/Theocles/Theocles.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1375.1,Theoclius Historicus 3./4. Jh. n. Chr,tlg1947,PrimaryAuthors/T/Theoclius Historicus/TheocliusHistoricus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1376.1,Theocritus Chius 4. Jh. v. Chr,tlg1714,PrimaryAuthors/T/Theocritus Chius/TheocritusChius.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1377.1,Theocritus,tlg0005,PrimaryAuthors/T/Theocritus/n50-33430.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1378.1,Theodectes Historicus 4. Jh. v. Chr,tlg1928,PrimaryAuthors/T/Theodectes Historicus/viaf29921102.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1379.1,Theodectes Phaselinus 4. Jh. v. Chr,tlg0329,PrimaryAuthors/T/Theodectes/theodectes.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1380.1,Theodoretus Grammaticus 4. Jh. n. Chr,tlg2125,PrimaryAuthors/T/Theodoretus Grammaticus/viaf57002016.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1381.1,Theodoridas Syracusanus 3. Jh. v. Chr,tlg1715,PrimaryAuthors/T/Theodoridas Syracusanus/TheodoridasSyracusanus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1382.1,Theodorus Bithynius 2. Jh. n. Chr,tlg1717,PrimaryAuthors/T/Theodorus Bithynius/TheodorusBithynius.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1383.1,Theodorus Epigrammaticus 4./3. Jh. v. Chr,tlg1716,PrimaryAuthors/T/Theodorus Epigrammaticus/viaf47196191.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1384.1,Theodorus Illustrius ca. 6. Jh,tlg4045,PrimaryAuthors/T/Theodorus Illustrius (Proconsul)/viaf15176251.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1385.1,Theodulf Bishop of Orleans ca. 760-821,stoa0279a,PrimaryAuthors/T/Theodolfus/n82-207407.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1386.1,Theognetus Comicus 3. Jh. v. Chr,tlg0511,PrimaryAuthors/T/Theognetus Comicus/TheognetusComicus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1387.1,Theognis Tragicus 5. Jh. v. Chr,tlg0313,PrimaryAuthors/T/Theognis Tragicus/TheognisTragicus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1388.1,Theognis,tlg0002,PrimaryAuthors/T/Theognis/n79-63403.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1389.1,Theon of Alexandria fl. 364,tlg2033,PrimaryAuthors/T/Theon/n86-48557.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1390.1,Theon of Smyrna,tlg1724,PrimaryAuthors/T/Theon of Smyrna/n85-813068.mads.xml,,,published,,feed_aggregator,
